"","boot","cols","Accuracy","acc_teste","mean_acc_test"
"745",187,1,1,0.575,0.5225
"746",187,2,1,0.47,0.5225
"747",187,3,1,0.58,0.5225
"748",187,4,1,0.455,0.5225
"749",188,1,1,0.565,0.5175
"750",188,2,1,0.43,0.5175
"751",188,3,1,0.6,0.5175
"752",188,4,1,0.47,0.5175
"753",189,1,1,0.525,0.5175
"754",189,2,1,0.465,0.5175
"755",189,3,1,0.55,0.5175
"756",189,4,1,0.51,0.5175
"757",190,1,1,0.52,0.5025
"758",190,2,1,0.485,0.5025
"759",190,3,1,0.56,0.5025
"760",190,4,1,0.375,0.5025
"761",191,1,1,0.52,0.45
"762",191,2,1,0.435,0.45
"763",191,3,1,0.465,0.45
"764",191,4,1,0.415,0.45
"765",192,1,1,0.505,0.5025
"766",192,2,1,0.5,0.5025
"767",192,3,1,0.535,0.5025
"768",192,4,1,0.475,0.5025
"769",193,1,1,0.48,0.5025
"770",193,2,1,0.495,0.5025
"771",193,3,1,0.51,0.5025
"772",193,4,1,0.555,0.5025
"773",194,1,1,0.525,0.5025
"774",194,2,1,0.515,0.5025
"775",194,3,1,0.49,0.5025
"776",194,4,1,0.465,0.5025
"777",195,1,1,0.545,0.5025
"778",195,2,1,0.545,0.5025
"779",195,3,1,0.46,0.5025
"780",195,4,1,0.46,0.5025
"781",196,1,1,0.545,0.475
"782",196,2,1,0.445,0.475
"783",196,3,1,0.505,0.475
"784",196,4,1,0.415,0.475
"785",197,1,1,0.53,0.5175
"786",197,2,1,0.515,0.5175
"787",197,3,1,0.52,0.5175
"788",197,4,1,0.49,0.5175
"789",198,1,1,0.56,0.52
"790",198,2,1,0.425,0.52
"791",198,3,1,0.555,0.52
